question,answer
西医对蛇串疮的认识,"蛇串疮相当于西医学的带状疱疹，是由水痘-带状疱疹病毒所致的急性疱疹性皮肤病。
""一定不要举例子"""
中医对蛇串疮的认识,"中医认为蛇串疮因其疱疹常累如串珠，分布于腰、胁部，状如蛇形，名“蛇串疮”，又称为“蛇丹”“缠腰火丹”等。其发生常与情志不畅、过食辛辣厚味、感受火热时毒等因素有关。本病病位在皮部，主要与肝、脾相关。基本病机是火毒湿热蕴蒸于肌肤、经络。
""一定不要举例子"""
蛇串疮的病因是什么,"蛇串疮的病因是：与情志不畅、过食辛辣厚味、感受火热时毒等因素有关
""一定不要举例子"""
蛇串疮的病位是什么,"蛇串疮的病位是：在皮部，主要与肝、脾相关。
""一定不要举例子"""
蛇串疮的基本病机是什么,"蛇串疮的基本病机是：火毒湿热蕴蒸于肌肤、经络。
""一定不要举例子"""
蛇串疮的好发部位,"蛇串疮常分布于腰、胁部，累如串珠。
""一定不要举例子"""
蛇串疮的症状,"蛇串疮主症见于初起时患部皮肤灼热刺痛、发红，继则出现簇集性粟粒大小丘状疱疹，多呈带状排列，多发生于身体一侧，以腰、胁部最为常见。疱疹消失后部分患者可遗留疼痛，可持续数月或更久。
""一定不要举例子"""
蛇串疮斑秃的证型,"蛇串疮辨证：皮损色鲜红，灼热疼痛，水疱饱满，疱壁紧张，口苦咽干，烦躁易怒，苔黄，脉弦滑数，为肝经火毒；皮损色淡红，疱壁松弛，常有糜烂渗出液，起黄白水疱，脘腹痞闷，苔黄腻，脉滑数，为脾经湿热；皮疹消退后遗留顽固性疼痛，皮肤色暗，为瘀血阻络。
""一定不要举例子"""
蛇串疮之肝经火毒有哪些症状,"蛇串疮之肝经火毒症见皮损色鲜红，灼热疼痛，水疱饱满，疱壁紧张，口苦咽干，烦躁易
怒，苔黄，脉弦滑数
""一定不要举例子"""
蛇串疮之脾经湿热有哪些症状,"蛇串疮之脾经湿热症见皮损色淡红，疱壁松弛，常有糜烂渗出液，起黄白水疱，脘腹痞闷，苔黄腻，脉滑数
""一定不要举例子"""
蛇串疮之瘀血阻络有哪些症状,"蛇串疮之瘀血阻络症见皮疹消退后遗留顽固性疼痛，皮肤色暗
""一定不要举例子"""
蛇串疮如何治疗,"蛇串疮包括针灸基本治疗和其他治疗
""一定不要举例子"""
蛇串疮的治法是什么,"蛇串疮的治法是：泻火解毒，通络止痛。
""一定不要举例子"""
针灸治疗蛇串疮的选穴规律,"蛇串疮的针灸治疗选穴以局部阿是穴、病变相应节段夹脊穴及手足少阳经穴为主。
""一定不要举例子"""
针灸治疗蛇串疮的主穴,"蛇串疮的针灸治疗选穴的主穴是：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、夹脊穴（指脊椎旁0.5寸处为穴位）、支沟（在前臂背侧，当阳池与肘尖的连线上，腕背横纹上3寸，尺骨与桡骨之间）、阳陵泉（小腿外侧，当腓骨头前下方凹陷处）、行间（在足背侧，当第1、2趾间，趾蹼缘的后方赤白肉际处）。
""一定不要举例子"""
针灸治疗蛇串疮的配穴,"蛇串疮的针灸治疗选穴的配穴是：肝经火毒配侠溪（在足背部，第四、五趾缝间，趾蹼缘后方赤白肉际处）、太冲（在足背侧，当第1跖骨间隙的后方凹陷处）；脾经湿热配阴陵泉（在小腿内侧，当胫骨内侧髁后下方凹陷处）、血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）；瘀血阻络配合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）、血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）。便秘配天枢（在腹中部，距脐中2寸）；心烦配神门（在腕部，腕掌侧横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷处）。

""一定不要举例子"""
针灸治疗蛇串疮选穴的方义,"皮损局部围刺及刺络拔罐，可活血通络、祛瘀泻毒；相应节段夹脊穴（指脊椎旁0.5寸处为穴位）调畅患部气血；支沟（在前臂背侧，当阳池与肘尖的连线上，腕背横纹上3寸，尺骨与桡骨之间）、阳陵泉（在小腿外侧，当腓骨头前下方凹陷处）清泻少阳之邪热；行间（在足背侧，当第1、2趾间，趾蹼缘的后方赤白肉际处）为足厥阴肝经荥穴，具有疏肝泻热之功。诸穴合用，清热泻火、通络止痛。
""一定不要举例子"""
蛇串疮针刺如何操作,"蛇串疮针刺选取皮损局部围针、浅刺，在疱疹带的头、尾各刺一针，两旁则根据疱疹带的大小选取数点，向疱疹带中央沿皮平刺。或用三棱针点刺疱疹及周围，拔火罐，令每罐出血3～5mL。夹脊穴（指脊椎旁0.5寸处为穴位）向脊柱方向斜刺1.5寸，行捻转泻法，可用电针
""一定不要举例子"""
蛇串疮的其他治疗包括,"蛇串疮的其他治疗包括火针法、艾灸法和灯火灸。
""一定不要举例子"""
火针法怎样治疗蛇串疮,"火针法治疗蛇串疮 先以碘伏消毒，在疱疹起止的两端及中间选定治疗部位，根据疱疹簇的大小确定所刺针数，以簇中疱疹数量的1/3～1/2为宜。进针深度以针尖刺破疱疹，达到其基底部为度。对于较大的脓疱或血疱即直径>0.5cm者，用粗火针点刺。刺后加拔火罐。患者就诊前3天每日治疗1次，之后隔日1次。适用于疱疹期
""一定不要举例子"""
艾灸法怎样治疗蛇串疮,"艾灸法治疗蛇串疮选取疱疹患处阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）。用艾条回旋灸，以热引热，外透毒邪每个部位施灸3～5分钟。或用铺棉灸，将药棉撕成薄薄的一片，面积同疱疹大小，覆盖疱疹，从一边点燃。注意棉花片要足够薄，不要灼伤局部皮肤。
""一定不要举例子"""
灯火灸怎样治疗蛇串疮,"灯火灸治疗蛇串疮先用灯心草蘸麻油，点燃后对准水疱中央点灼，发出清脆“啪”声即可。水疱破处可涂碘伏消毒。
""一定不要举例子"""
蛇串疮的注意事项,"1.针灸治疗本病有很好的疗效，可止痛，促进疱疹吸收和结痂，缩短病程，减少后遗症。
2.注意休息，加强营养，治疗期间不宜食肥甘辛辣食品，饮食宜清淡，并忌食海鲜发物，注意保暖，勿受寒凉。保持疱疹区的皮肤卫生。
3.现代研究表明，针灸治疗带状疱疹与抑制炎症反应、促进炎症吸收、调节免疫功能有关。
""一定不要举例子"""
针灸治疗蛇串疮效果怎么样,"针灸治疗本病有很好的疗效，可止痛，促进疱疹吸收和结痂，缩短病
程，减少后遗症。"
针灸可以治疗蛇串疮吗,"针灸治疗本病有很好的疗效，可止痛，促进疱疹吸收和结痂，缩短病程，减少后遗症。
""一定不要举例子"""
蛇串疮是针灸的适应症吗,"针灸治疗本病有很好的疗效，可止痛，促进疱疹吸收和结痂，缩短病程，减少后遗症。
""一定不要举例子"""
扁平疣的定义是什么,"扁平疣是以发生于皮肤浅表部位的粟粒至黄豆大小的硬性扁平赘生物为主要症状的皮肤病。多发生于颜面、前臂和手背部，好发于青春期前后女性。多由人类乳头瘤病毒引起。
""一定不要举例子"""
西医对扁平疣的认识,"扁平疣是以发生于皮肤浅表部位的粟粒至黄豆大小的硬性扁平赘生物为主要症状的皮肤病。多发生于颜面、前臂和手背部，好发于青春期前后女性。多由人类乳头瘤病毒引起。
""一定不要举例子"""
中医对扁平疣的认识,"中医学称扁平疣为“扁瘊”“疣疮”“疣目”，认为其发生常与感受风热毒邪、情志不畅等因素有关。本病病位在肌肤腠理。基本病机是风热毒邪搏结于肌肤，或肝郁气滞、毒聚瘀结。
""一定不要举例子"""
扁平疣的好发人群,"扁平疣好发于青春期前后女性。
""一定不要举例子"""
扁平疣好发部位,"扁平疣好发部位：多发生于颜面、前臂和手背部，
""一定不要举例子"""
扁平疣的主症,"颜面、前臂和手背等处出现散在或密集分布的扁平丘疹，呈圆形、椭圆形或不规则的多边形，褐色或正常肤色，表面光滑，边界清楚，质地偏硬，一般无痛痒。病程缓慢，有时可自行消退，但退后易复发。
""一定不要举例子"""
扁平疣的主要症状,"颜面、前臂和手背等处出现散在或密集分布的扁平丘疹，呈圆形、椭圆形或不规则的多边形，褐色或正常肤色，表面光滑，边界清楚，质地偏硬，一般无痛痒。病程缓慢，有时可自行消退，但退后易复发。
""一定不要举例子"""
扁平疣的特点,"颜面、前臂和手背等处出现散在或密集分布的扁平丘疹，呈圆形、椭圆形或不规则的多边形，褐色或正常肤色，表面光滑，边界清楚，质地偏硬，一般无痛痒。病程缓慢，有时可自行消退，但退后易复发。
""一定不要举例子"""
扁平疣斑秃的证型,"唇干口渴，疹色淡红或红褐，舌红，苔黄，脉数，为风热蕴结；疹色灰暗或呈暗褐色，舌淡，苔白，脉濡或滑，为毒聚瘀结。
""一定不要举例子"""
扁平疣之风热蕴结有哪些症状,"扁平疣之风热蕴结症见唇干口渴，疹色淡红或红褐，舌红，苔黄，脉数
""一定不要举例子"""
扁平疣之毒聚瘀结有哪些症状,"扁平疣之毒聚瘀结症见疹色灰暗或呈暗褐色，舌淡，苔白，脉濡或滑
""一定不要举例子"""
扁平疣如何治疗,"扁平疣的治疗分为基本治疗和其他治疗。基本治疗：
治法：疏风清热，解毒散结。以局部穴及手阳明经穴为主。
主穴：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位），曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点），合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）。
配穴：风热蕴结配风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）、尺泽（在肘横纹中，肱二头肌腱桡侧凹陷处，微屈肘取穴）；毒聚瘀结配血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、太冲（在足背侧，当第1跖骨间隙的后方凹陷处）。扁平疣个数较多或全身泛发者配肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）、血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）；疣体局限者可根据所在部位的经络配邻近穴1～2个。
方义：刺疣体局部为主并放血，可解毒散结；曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）可疏风清热。
操作：患部阿是穴即“母疣”，在其中心快速进针至疣底部，大幅度捻转提插30次左右，然后摇大针孔，迅速出针，放血1～2滴，再压迫止血；若疣体较大，再于疣体上下左右四面与正常皮肤交界处各刺1针，以刺穿疣体对侧为度，施用同样手法，3～5日针刺1次。
其他治疗：火针法 疣体局部。用烧红火针快速刺入疣体2～3mm，不留针。
""一定不要举例子"""
扁平疣的治法是什么,"扁平疣的治法是：疏风清热，解毒散结。
""一定不要举例子"""
针灸治疗扁平疣的选穴规律,"扁平疣的针灸治疗选穴以局部穴及手阳明经穴为主。
""一定不要举例子"""
针灸治疗扁平疣的主穴,"扁平疣的针灸治疗选穴的主穴是：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位），曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点），合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）
""一定不要举例子""
"
针灸治疗扁平疣的配穴,"扁平疣的针灸治疗选穴的配穴是：风热蕴结配风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）、尺泽（在肘横纹中，肱二头肌腱桡侧凹陷处，微屈肘取穴）；毒聚瘀结配血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、太冲（在足背侧，当第1跖骨间隙的后方凹陷处）。扁平疣个数较多或全身泛发者配肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、风池（在项部，当枕骨之下，与风府相平，胸锁乳突肌与斜方肌上端之间的凹陷处）、血海（在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）；疣体局限者可根据所在部位的经络配邻近穴1～2个。
""一定不要举例子"""
针灸治疗扁平疣配穴的方义,"扁平疣配穴方义：刺疣体局部为主并放血，可解毒散结；曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、合谷（在手背，第1、2掌骨间，当第二掌骨桡侧的中点处）可疏风清热。

""一定不要举例子"""
针灸治疗扁平疣的操作方法," 扁平疣的针刺操作取患部阿是穴即“母疣”，在其中心快速进针至疣底部，大幅度捻转提插30次左右，然后摇大针孔，迅速出针，放血1～2滴，再压迫止血；若疣体较大，再于疣体上下左右四面与正常皮肤交界处各刺1针，以刺穿疣体对侧为度，施用同样手法，3～5日针刺1次。
""一定不要举例子"""
火针如何治疗扁平疣,"用烧红火针快速刺入疣体2～3mm，不留针。
""一定不要举例子"""
扁平疣的注意事项,"治疗进程较慢，治疗期间要有耐心和毅力。不宜搔抓或抠剥疣体，也不宜过度搓洗以免造成自身接种。
""一定不要举例子"""
扁平疣针灸效果怎么样,"针灸治疗本病有较好疗效，但进程较慢，治疗期间要有耐心和毅力。
""一定不要举例子"""
神经性皮炎是什么,神经性皮炎是以皮肤肥厚变硬、皮沟加深、苔藓样改变和阵发性剧烈瘙痒为特征的皮肤病，是皮肤神经功能失调所致，又称慢性单纯性苔藓。病变范围多局限，少有全身发病，多见于成年人。精神因素被认为是主要的诱因，情绪紧张、焦虑都可促使皮损发生或复发。
西医对神经性皮炎的认识,"神经性皮炎是以皮肤肥厚变硬、皮沟加深、苔藓样改变和阵发性剧烈瘙痒为特征的皮肤病，是皮肤神经功能失调所致，又称慢性单纯性苔藓。病变范围多局限，少有全身发病，多见于成年人。精神因素被认为是主要的诱因，情绪紧张、焦虑都可促使皮损发生或复发。
""一定不要举例子"""
中医对神经性皮炎的认识,神经性皮炎属于中医学“牛皮癣”“顽癣”“摄领疮”范畴。其发生多与情志不遂、风热侵袭、过食辛辣等因素有关。病位在肌肤腠理络脉，与肺、肝关系密切。基本病机是风热外袭或郁火外窜肌肤，化燥生风，肌肤失养。
神经性皮炎的主症,"神经性皮炎的主症：初起时颈项后、肘膝关节、腰骶或会阴等部位瘙痒但无皮疹；随后皮肤出现正常皮色或淡红色、粟米至米粒大小、扁平有光泽的皮疹，呈圆形或多角形，密集成群；日久皮损逐渐融合扩大成片，皮肤增厚粗糙，呈皮革样、苔藓样变，搔抓后有脱屑，阵发性剧痒。发病初期，皮肤瘙痒，丘疹呈正常皮色或红色，食辛辣食物后加重，舌淡红，苔薄黄，脉濡或浮数，为风热侵袭；因情志不畅而诱发或加重，心烦易怒，口苦咽干，舌红，脉弦，为肝郁化火；病久皮肤增厚，干燥粗糙，色素沉着，舌淡，苔薄，脉细，为血虚风燥。
""一定不要举例子"""
神经性皮炎的治疗,"神经性皮炎的治疗包括基本治疗和其他治疗。基本治疗：
治法：疏风止痒，清热润燥。以病变局部阿是穴及手阳明、足太阴经穴为主。
主穴：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、血海（屈膝，在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）
配穴：风热侵袭配外关（在前臂背侧，当阳池与肘尖的连线上，腕背横纹上2寸，尺骨与桡骨之间）、风池（即眼平视，瞳孔直上，当眉毛上缘处，即鱼腰穴的稍上方）；肝郁化火配肝俞（在背部，当第9胸椎棘突下，旁开1.5寸）、行间（在足背侧，当第1、2趾间，趾蹼缘的后方赤白肉际处）；血虚风燥配肝俞（在背部，当第9胸椎棘突下，旁开1.5寸）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。
其他治疗：
（1）皮肤针法 患部阿是穴（（指以压痛点或其他病理反应点作为针灸治疗的穴位））。由外向内螺旋式叩刺，以少量出血为度，
3日1次。同时可配合拔罐或艾条灸。
（2）耳针法：肺（心、气管穴周围处）、神门（在对耳轮上下脚分叉处稍上方，与髋穴相近）、肝（在耳背中部的外侧）、相应病变部位。毫针刺法或压丸法。
""一定不要举例子"""
神经性皮炎的治法是什么,"神经性皮炎的治法是疏风止痒，清热润燥。
""一定不要举例子"""
针灸治疗神经性皮炎的选穴规律,"神经性皮炎的针灸治疗选穴以病变局部阿是穴及手阳明、足太阴经穴为主。
""一定不要举例子"""
针灸治疗神经性皮炎的主穴是什么,"神经性皮炎的针灸治疗选穴的主穴：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、血海（屈膝，在大腿内侧，髌底内侧端上2寸，当股四头肌内侧头的隆起处）、膈俞（在背中，当第7胸椎棘突下，旁开1.5寸）。
""一定不要举例子"""
针灸治疗神经性皮炎的配穴是什么,"神经性皮炎的配穴是：风热侵袭配外关（在前臂背侧，当阳池与肘尖的连线上，腕背横纹上2寸，尺骨与桡骨之间）、风池（即眼平视，瞳孔直上，当眉毛上缘处，即鱼腰穴的稍上方）；肝郁化火配肝俞（在背部，当第9胸椎棘突下，旁开1.5寸）、行间（在足背侧，当第1、2趾间，趾蹼缘的后方赤白肉际处）；血虚风燥配肝俞（在背部，当第9胸椎棘突下，旁开1.5寸）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。
""一定不要举例子"""
神经性皮炎的证型,"发病初期，皮肤瘙痒，丘疹呈正常皮色或红色，食辛辣食物后加重，舌淡红，苔薄黄，脉濡或浮数，为风热侵袭；因情志不畅而诱发或加重，心烦易怒，口苦咽干，舌红，脉弦，为肝郁化火；病久皮肤增厚，干燥粗糙，色素沉着，舌淡，苔薄，脉细，为血虚风燥。
""一定不要举例子"""
神经性皮炎之风热侵袭的症状是,"皮肤瘙痒，丘疹呈正常皮色或红色，食辛辣食物后加重，舌
淡红，苔薄黄，脉濡或浮数.
""一定不要举例子"""
神经性皮炎之肝郁化火的症状是,"因情志不畅而诱发或加重，
心烦易怒，口苦咽干，舌红，脉弦。
""一定不要举例子"""
神经性皮炎之血虚风燥的症状是,"病久皮肤增厚，干燥
粗糙，色素沉着，舌淡，苔薄，脉细。
""一定不要举例子"""
治疗神经性皮炎之风热侵袭的配穴有哪些,"治疗神经性皮炎之风热侵袭的配穴有外关、风池
""一定不要举例子"""
治疗神经性皮炎之肝郁化火的配穴有哪些,"治疗神经性皮炎之肝郁化火的配穴有肝俞、行间
""一定不要举例子"""
治疗神经性皮炎之血虚风燥的配穴有哪些,"治疗神经性皮炎之血虚风燥的配穴有肝俞、足三里、三阴交。
""一定不要举例子"""
针灸治疗神经性皮炎的方义,"神经性皮炎针刺配穴的方义：阿是穴，既可宣散局部的风热郁火，又能疏通患部的经络气血，
使患部肌肤得以濡养；曲池祛风清热止痒；血海、膈俞调和营血。
""一定不要举例子"""
针灸治疗神经性皮炎的操作方法," 神经性皮炎针刺操作：患部阿是穴围刺。并可艾灸，局部选用铺棉灸或隔姜灸均可。
""一定不要举例子"""
神经性皮炎的其他治疗方法,"（1）皮肤针法：患部阿是穴（（指以压痛点或其他病理反应点作为针灸治疗的穴位））。由外向内螺旋式叩刺，以少量出血为度，3日1次。同时可配合拔罐或艾条灸。
（2）耳针法：肺（心、气管穴周围处）、神门（在对耳轮上下脚分叉处稍上方，与髋穴相近）、肝（在耳背中部的外侧）、相应病变部位。毫针刺法或压丸法。
""一定不要举例子"""
皮肤针如何治疗神经性皮炎,"皮肤针法：患部阿是穴（（指以压痛点或其他病理反应点作为针灸治疗的穴位））。由外向内螺旋式叩刺，以少量出血为度，3日1次。同时可配合拔罐或艾条灸。

""一定不要举例子"""
耳针如何治疗神经性皮炎,"耳针法：肺（心、气管穴周围处）、神门（在对耳轮上下脚分叉处稍上方，与髋穴相近）、肝（在耳背中部的外侧）、相应病变部位。毫针刺法或压丸法。
""一定不要举例子"""
针灸治疗神经性皮炎效果怎么样,"针灸治疗神经性皮炎有一定疗效，但病程缠绵，较难痊愈，且易复发，需坚
持治疗。
""一定不要举例子"""
神经性皮炎的注意事项,"治疗期间忌食辛辣、腥膻、酒类等刺激之物，保持精神安定，
穿着棉麻衣物。
病应与慢性湿疹、银屑病等相鉴别。
""一定不要举例子"""
痤疮是什么,"痤疮是毛囊及皮脂腺的一种慢性炎症性皮肤病，表现为皮肤丘疹、脓
疱、结节、囊肿、黑白头粉刺等，青春期多见，俗称“青春痘”。
""一定不要举例子"""
痤疮的病因是什么,"西医学
认为本病与遗传、免疫、内分泌、精神、饮食、胃肠功能、环境、化妆品使用等因素相关，青春期后大多自然痊愈或减轻。痤疮属中医学“肺风”“粉刺”范畴。其发生多与先天禀赋、过食辛辣厚味、冲任不调等因素有关。病位在肌肤腠理，与肺、胃、肝关系密切。基本病机是热毒郁蒸肌肤。
""一定不要举例子"""
西医学对痤疮的认识是什么,"西医学
认为本病与遗传、免疫、内分泌、精神、饮食、胃肠功能、环境、化妆品使用等因素相关，青春期后大多自然痊愈或减轻。痤疮属中医学“肺风”“粉刺”范畴。其发生多与先天禀赋、过食辛辣厚味、冲任不调等因素有关。病位在肌肤腠理，与肺、胃、肝关系密切。基本病机是热毒郁蒸肌肤。
""一定不要举例子"""
中医学对痤疮的认识是什么,"痤疮属中医学“肺风”“粉刺”范畴。其发生多与先天禀赋、过食辛辣厚味、冲任不调等因素有关。病位在肌肤腠理，与肺、胃、肝关系密切。基本病机是热毒郁蒸肌肤。
""一定不要举例子"""
痤疮的主症是什么,"初起为粉刺或黑头丘疹，可挤出乳白色粉质样物，后期可出现脓疱、硬结、囊肿、瘢痕等。
""一定不要举例子"""
痤疮斑秃的证型,"若皮损以丘疹为主，多发于颜面、胸背上部，色红，或有痒痛，舌红，苔薄黄，脉浮数，为肺经郁热；丘疹红肿疼痛，或见脓疱、结节、囊肿等，面部油腻，便秘，舌红，苔黄腻，脉滑数，为脾胃湿热；皮疹的消长与月经周期有关，伴月经不调或痛经，舌红，苔腻，脉弦细数，为冲任不调。
""一定不要举例子""
"
痤疮针灸如何治疗,"基本治疗
治法：清泻肺胃，活血散结。以局部穴及手足阳明经穴为主。
主穴：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、四白（位于下眼睑下一寸，当眶下孔处）、颧髎（在面部，当目外眦直下，颧骨下缘凹陷处）、肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、大椎（在后背正中线上，第七颈椎棘突下凹陷中）、曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、内庭（在足背，当2、3趾间，趾蹼缘后方赤白肉际处）。
配穴：肺经郁热配鱼际（在手拇指本节（第一掌指关节）后凹陷处，约当第一掌骨中点桡侧，赤白肉际处）、尺泽（在肘横纹中，肱二头肌腱桡侧凹陷处，微屈肘取穴）；脾胃湿热配阴陵泉（在小腿内侧，当胫骨内侧髁后下方凹陷处）、丰隆（在小腿前外侧，当外踝尖上8寸，条口外，距胫骨前缘二横指）；冲任不调配公孙（在足内侧缘，当第1跖骨基底的前下方，赤白肉际处）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。便秘配足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、天枢（在腹中部，距脐中2寸）。另外，可根据痤疮发生的具体部位，配局部经穴及循经远端配穴。
方义：皮损局部阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）及面部颧髎（在面部，当目外眦直下，颧骨下缘凹陷处）、四白（位于下眼睑下一寸，当眶下孔处），能疏通患部的经络气血，化瘀散结；曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、内庭（在足背，当2、3趾间，趾蹼缘后方赤白肉际处）清泻阳明之热，配大椎（在后背正中线上，第七颈椎棘突下凹陷中）以加强清热之力；肺主皮毛，肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）可清肺泄热。
操作：毫针刺，用泻法。
""一定不要举例子"""
痤疮的基本治疗,"基本治疗
治法：清泻肺胃，活血散结。以局部穴及手足阳明经穴为主。
主穴：阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、四白（位于下眼睑下一寸，当眶下孔处）、颧髎（在面部，当目外眦直下，颧骨下缘凹陷处）、肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、大椎（在后背正中线上，第七颈椎棘突下凹陷中）、曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、内庭（在足背，当2、3趾间，趾蹼缘后方赤白肉际处）。
配穴：肺经郁热配鱼际（在手拇指本节（第一掌指关节）后凹陷处，约当第一掌骨中点桡侧，赤白肉际处）、尺泽（在肘横纹中，肱二头肌腱桡侧凹陷处，微屈肘取穴）；脾胃湿热配阴陵泉（在小腿内侧，当胫骨内侧髁后下方凹陷处）、丰隆（在小腿前外侧，当外踝尖上8寸，条口外，距胫骨前缘二横指）；冲任不调配公孙（在足内侧缘，当第1跖骨基底的前下方，赤白肉际处）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。便秘配足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、天枢（在腹中部，距脐中2寸）。另外，可根据痤疮发生的具体部位，配局部经穴及循经远端配穴。
方义：皮损局部阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）及面部颧髎（在面部，当目外眦直下，颧骨下缘凹陷处）、四白（位于下眼睑下一寸，当眶下孔处），能疏通患部的经络气血，化瘀散结；曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、内庭（在足背，当2、3趾间，趾蹼缘后方赤白肉际处）清泻阳明之热，配大椎（在后背正中线上，第七颈椎棘突下凹陷中）以加强清热之力；肺主皮毛，肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）可清肺泄热。
操作：毫针刺，用泻法。
""一定不要举例子"""
痤疮的治法是什么,"痤疮的治法是清泻肺胃，活血散结。
""一定不要举例子"""
针灸治疗痤疮的选穴规律,"痤疮的针灸治疗选穴以局部穴及手足阳明经穴为主。
""一定不要举例子"""
针灸治疗痤疮的主穴是什么,"痤疮的针灸治疗主穴是阿是穴（指以压痛点或其他病理反应点作为针灸治疗的穴位）、四白（位于下眼睑下一寸，当眶下孔处）、颧髎（在面部，当目外眦直下，颧骨下缘凹陷处）、肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、大椎（在后背正中线上，第七颈椎棘突下凹陷中）、曲池（在肘横纹外侧端，屈肘，当尺泽与肱骨外上髁连线中点）、内庭（在足背，当2、3趾间，趾蹼缘后方赤白肉际处）。
""一定不要举例子"""
痤疮的针灸治疗选穴的配穴是什么,"痤疮的针灸治疗配穴是：肺经郁热配鱼际（在手拇指本节（第一掌指关节）后凹陷处，约当第一掌骨中点桡侧，赤白肉际处）、尺泽（在肘横纹中，肱二头肌腱桡侧凹陷处，微屈肘取穴）；脾胃湿热配阴陵泉（在小腿内侧，当胫骨内侧髁后下方凹陷处）、丰隆（在小腿前外侧，当外踝尖上8寸，条口外，距胫骨前缘二横指）；冲任不调配公孙（在足内侧缘，当第1跖骨基底的前下方，赤白肉际处）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。便秘配足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）、天枢（在腹中部，距脐中2寸）。另外，可根据痤疮发生的具体部位，配局部经穴及循经远端配穴。
""一定不要举例子"""
